@relation combined_iSOL_SentiCon_COAH

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute SC_totalSO_0_Body numeric
@attribute SC_posSO_0_Body numeric
@attribute SC_negSO_0_Body numeric
@attribute SC_totalSO_1_Body numeric
@attribute SC_posSO_1_Body numeric
@attribute SC_negSO_1_Body numeric
@attribute SC_totalSO_2_Body numeric
@attribute SC_posSO_2_Body numeric
@attribute SC_negSO_2_Body numeric
@attribute SC_totalSO_3_Body numeric
@attribute SC_posSO_3_Body numeric
@attribute SC_negSO_3_Body numeric
@attribute SC_totalSO_4_Body numeric
@attribute SC_posSO_4_Body numeric
@attribute SC_negSO_4_Body numeric
@attribute SC_totalSO_5_Body numeric
@attribute SC_posSO_5_Body numeric
@attribute SC_negSO_5_Body numeric
@attribute SC_totalSO_6_Body numeric
@attribute SC_posSO_6_Body numeric
@attribute SC_negSO_6_Body numeric
@attribute SC_totalSO_7_Body numeric
@attribute SC_posSO_7_Body numeric
@attribute SC_negSO_7_Body numeric
@attribute SC_totalSO_0_Summ numeric
@attribute SC_posSO_0_Summ numeric
@attribute SC_negSO_0_Summ numeric
@attribute SC_totalSO_1_Summ numeric
@attribute SC_posSO_1_Summ numeric
@attribute SC_negSO_1_Summ numeric
@attribute SC_totalSO_2_Summ numeric
@attribute SC_posSO_2_Summ numeric
@attribute SC_negSO_2_Summ numeric
@attribute SC_totalSO_3_Summ numeric
@attribute SC_posSO_3_Summ numeric
@attribute SC_negSO_3_Summ numeric
@attribute SC_totalSO_4_Summ numeric
@attribute SC_posSO_4_Summ numeric
@attribute SC_negSO_4_Summ numeric
@attribute SC_totalSO_5_Summ numeric
@attribute SC_posSO_5_Summ numeric
@attribute SC_negSO_5_Summ numeric
@attribute SC_totalSO_6_Summ numeric
@attribute SC_posSO_6_Summ numeric
@attribute SC_negSO_6_Summ numeric
@attribute SC_totalSO_7_Summ numeric
@attribute SC_posSO_7_Summ numeric
@attribute SC_negSO_7_Summ numeric
@attribute class {-1,1}

@data
7,1,0,0,1.175,1.175,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,0.672,0.672,0,0,0,0,1.187,1.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,0,0,0.876,1.282,-0.406,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,1.036,1.036,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,1,0,1.359,1.359,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.788,2.163,-0.375,0.25,0.25,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0.313,0.75,-0.437,0,0,0,0.875,0.875,0,0,0,0,0,0,0,0,0,0,0.68,0.68,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,1,0,1.219,1.219,0,0,0,0,0.792,0.792,0,0,0,0,0.661,0.661,0,0,0,0,1.072,1.072,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
3,3,1,0,0.375,0.833,-0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785,1.785,0,0,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0.239,0.614,-0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,7,2,0,2.559,2.84,-0.281,0,0,0,1.584,1.584,0,0,0,0,0.113,0.675,-0.562,0,0,0,0.833,0.833,0,0,0.25,-0.25,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,0,0,0,0,0,0,0,0,0.875,0.875,0,0,0,0,0.625,0.625,0,0,0,0,0.914,0.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,2.271,2.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.641,0,0,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,1,0,1.291,1.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.867,1.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,1,0,1.806,1.806,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.5,0,-0.5,1.345,1.72,-0.375,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,2,0,4.235,4.235,0,0.5,0.5,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,2.756,2.756,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2,2,0,1.099,1.099,0,0,0,0,0,0,0,0,0,0,1.969,1.969,0,0,0,0,1.225,1.6,-0.375,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2,1,0,0.804,0.804,0,0,0,0,0.771,0.771,0,0,0,0,0.563,0.563,0,0,0,0,0.469,0.469,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0.719,0,0,0,0,0,0,0,0,0,0,1
10,2,1,0,0.078,0.536,-0.458,0,0,0,0,0,0,0,0,0,0.719,0.719,0,0,0,0,0.756,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0.719,0,0,0,0,0.338,0.338,0,0,0,0,1
13,6,1,0,1.583,1.583,0,0,0,0,1.584,1.584,0,0,0,0,0.675,0.675,0,0,0,0,0.797,1.458,-0.661,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.144,1.144,0,0,0,0,0.804,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0.536,0.536,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.299,0.674,-0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,1,0,1.806,1.806,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.5,0,-0.5,1.345,1.72,-0.375,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.594,2.594,0,0,0,0,1.154,1.154,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,1,0,2.537,2.537,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.722,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,1,0,1.583,1.583,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.713,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,0,0.75,0.75,0,0,0,0,0.775,0.775,0,0,0,0,1.781,1.781,0,0,0,0,1.105,1.105,0,0,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0.547,0,0,0,0,0.375,0.375,0,0,0,0,1
8,4,1,0,1.077,1.744,-0.667,0,0,0,0.792,0.792,0,0,0,0,0.563,0.563,0,0.5,0.5,0,2.827,2.827,0,0,0.25,-0.25,0.458,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,1,0,1.125,1.583,-0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0,0,0,0,1
3,0,1,0,0,0,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,1.013,1.013,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
8,6,0,0,1.682,2.119,-0.437,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.254,0.65,-0.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,1.563,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0.347,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,2,0,1.583,1.583,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,0.816,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.271,0,0,0,0,1
5,0,1,0,1.554,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0.5,0.5,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,1,0,0.485,0.943,-0.458,0,0,0,0.792,0.792,0,0,0,0,0.625,0.625,0,0,0,0,1.318,1.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,0,1.136,1.136,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0.646,0,0,0,0,1.55,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2,0,0,0.375,0.833,-0.458,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.934,0.934,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,1,0,0.833,0.833,0,0,0,0,0.792,0.792,0,0,0,0,1.286,1.286,0,0,0,0,1.032,1.032,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,0,0.536,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458,0.458,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,2.482,2.482,0,0,0,0,0,0,0,0,0,0,0.675,0.675,0,0.5,0.5,0,1.793,1.793,0,0.25,0.25,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,1,0,1.513,1.513,0,0,0,0,0.875,0.875,0,0,0,0,0.625,0.625,0,0,0,0,0.996,0.996,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,1,0,2.767,2.767,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.91,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0.536,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.46,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,0,-0.375,0,0,0,1
10,1,1,0,3.021,3.021,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.062,1.343,-0.281,0.5,0.5,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0,0,0,0,1
8,0,1,1,1.197,1.197,0,0,0,0,0.775,0.775,0,0,0,0,1.25,1.25,0,0,0,0,0.799,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.25,1
8,3,0,0,0.708,0.708,0,0,0,0,0.792,0.792,0,0,0,0,1.286,1.286,0,-0.5,0,-0.5,0.779,1.039,-0.26,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,3,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-0.5,2.236,2.236,0,0,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0.411,0,0,0,0,1
11,3,1,0,1.175,1.175,0,0,0,0,0.792,0.792,0,0,0,0,2.019,2.019,0,0,0,0,0.993,0.993,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,6,0,0,4.016,4.591,-0.575,0,0,0,0.792,0.792,0,0.75,0.75,0,0,0,0,0,0,0,5.224,5.932,-0.708,-0.5,1,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,1,0,1.369,1.369,0,0,0,0,0.875,0.875,0,0,0,0,0.625,0.625,0,0,0,0,0.271,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,1,0,1.583,1.583,0,0,0,0,0.875,0.875,0,0,0,0,0.625,0.625,0,0,0,0,1.57,1.57,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,1.583,1.583,0,0,0,0,0,0,0,0,0,0,0.719,0.719,0,0,0,0,0.375,0.375,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,1,0,1.001,1.438,-0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.138,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0.354,0.354,0,0,0,0,0.875,0.875,0,0,0,0,0,0,0,0,0,0,0.674,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,1,1.156,1.156,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,0.347,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,1,0,0.833,0.833,0,0,0,0,0.792,0.792,0,0,0,0,0.675,0.675,0,0,0,0,1.06,1.06,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,1,0,1.99,1.99,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,1.716,1.716,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.785,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,0,1.583,1.583,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.438,0.438,0,0.25,0.25,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,0,2.135,2.135,0,0,0,0,0,0,0,0,0,0,0.563,0.563,0,0.5,0.5,0,1.385,1.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,0,2.604,2.604,0,0,0,0,1,1,0,0,0,0,0.625,0.625,0,0,0,0,0.375,0.375,0,0.5,0.5,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,2,0,0.688,0.688,0,0,0,0,0.875,0.875,0,0,0,0,1.3,1.3,0,0,0,0,1.452,1.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,0,0.833,0.833,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,1.178,1.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0.792,0.792,0,0.75,0.75,0,0.661,0.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,0.725,0,0,0,0,1
6,2,1,0,1.125,1.583,-0.458,0,0,0,0,0,0,0,0,0,0.675,0.675,0,0,0,0,2.248,2.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,7,1,1,1.65,2.025,-0.375,0,0,0,1.567,1.567,0,0,0,0,2.108,2.633,-0.525,0,0,0,-0.313,0.744,-1.057,0,0.25,-0.25,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,2,0,1.088,1.088,0,0,0,0,0,0,0,0,0,0,1.25,1.25,0,0,0,0,0.729,0.729,0,0,0,0,0.406,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788,0.788,0,0,0,0,1
4,2,0,0,0.905,1.363,-0.458,0,0,0,1.567,1.567,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.336,1.336,0,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,1,0,3.655,3.655,0,0,0,0,0.792,0.792,0,0,0,0,1.941,1.941,0,0,0,0,1.309,1.309,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0.833,0.833,0,0,0,0,0.792,0.792,0,0,0,0,0.719,0.719,0,0,0,0,0.441,0.722,-0.281,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,2,0,0.954,0.954,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0.5,0.5,0,1.503,1.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,1
3,1,2,0,0.675,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771,0.771,0,0,0,0,0.425,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2,0,0,1.122,1.122,0,0,0,0,0.875,0.875,0,0,0,0,0,0,0,0,0,0,0.876,1.162,-0.286,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,0,0,0,1.567,1.567,0,0,0,0,0,0,0,0,0,0,1.091,1.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.281,0,0,0,0,1
7,1,2,0,0.833,0.833,0,0,0,0,0.775,0.775,0,0,0,0,2.511,2.511,0,0,0,0,0.375,0.375,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,1.099,1.099,0,0,0,0,0.775,0.775,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,2.093,2.093,0,0.5,0.5,0,0,0,0,0,0,0,0.675,0.675,0,0,0,0,1.488,1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0,1.839,1.839,0,0,0,0,-0.281,0,-0.281,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,1,0,1.114,1.114,0,0.5,0.5,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,0,0.849,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325,1.325,0,0,0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0.688,0,0,0,0,0,0,0,0,0,0,1
10,3,1,0,2.271,2.271,0,0,0,0,0.792,0.792,0,0,0,0,0,0,0,0,0,0,1.373,1.654,-0.281,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0,0,0,0,1
