@relation iSOL_COAH

@attribute iSOL_PosCount_Body numeric
@attribute iSOL_NegCount_Body numeric
@attribute iSOL_PosCount_Summ numeric
@attribute iSOL_NegCount_Summ numeric
@attribute class {-1,1}

@data
8,5,0,0,1
9,5,2,0,1
8,3,3,0,1
11,1,3,0,1
6,1,2,0,1
8,2,1,0,1
4,0,2,0,1
10,0,1,0,1
5,1,0,0,1
3,1,1,0,1
10,2,1,0,1
4,2,1,0,1
5,0,1,0,1
10,7,1,0,1
9,1,1,0,1
12,0,0,0,1
4,2,1,0,1
6,0,1,0,1
7,0,1,0,1
4,1,0,0,1
3,0,1,0,1
9,0,0,0,1
3,0,1,0,1
5,1,1,0,1
6,0,1,0,1
6,1,2,0,1
3,0,1,0,1
2,1,0,0,1
12,3,2,0,1
13,4,1,0,1
6,0,0,0,1
7,4,1,0,1
21,5,1,0,1
8,8,1,2,1
7,5,1,0,1
8,6,1,0,1
3,2,1,0,1
7,0,3,0,1
5,3,2,0,1
8,6,1,0,1
3,2,1,0,1
7,0,3,0,1
5,3,2,0,1
14,4,1,0,1
4,0,1,0,1
11,1,0,0,1
7,0,1,0,1
6,1,0,0,1
4,0,1,0,1
6,0,0,0,1
6,3,1,0,1
13,0,0,0,1
7,0,1,0,1
9,1,1,0,1
8,0,0,0,1
9,0,0,0,1
11,0,0,0,1
2,0,1,0,1
10,3,1,0,1
12,9,2,1,1
1,3,2,0,1
9,1,1,0,1
3,4,2,0,1
15,3,1,0,1
15,8,1,0,1
8,3,2,1,1
6,5,1,1,1
8,3,0,0,1
4,2,1,0,1
7,3,1,0,1
11,7,2,0,1
9,2,0,0,1
2,1,0,0,1
10,3,1,0,1
11,1,0,0,1
4,3,1,0,1
3,0,0,0,1
4,0,1,0,1
3,0,0,0,1
4,2,1,0,1
4,4,2,0,1
1,2,2,0,1
8,0,2,0,1
4,0,0,0,1
4,0,1,0,1
8,1,2,0,1
0,1,1,0,1
9,3,1,1,1
7,0,0,0,1
8,0,1,0,1
6,1,0,0,1
9,2,1,0,1
10,3,0,0,1
3,0,0,0,1
6,1,1,0,1
6,1,0,0,1
5,0,1,0,1
4,0,0,0,1
9,1,1,0,1
4,0,0,0,1
9,1,1,0,1
7,2,2,0,1
3,0,2,0,1
6,0,0,0,1
8,0,1,0,1
6,2,1,0,1
14,4,0,0,1
3,2,2,0,1
8,2,0,0,1
11,9,1,0,1
8,3,1,1,1
4,3,0,0,1
10,6,1,0,1
11,5,0,0,1
4,1,0,0,1
6,0,1,0,1
7,3,0,0,1
8,0,1,0,1
9,1,1,0,1
6,1,1,0,1
5,0,0,0,1
6,2,1,0,1
8,1,0,0,1
3,0,0,0,1
2,0,0,0,1
1,2,0,0,1
2,1,0,0,1
4,1,0,0,1
4,1,2,0,1
4,0,1,0,1
9,3,1,0,1
18,2,0,0,1
2,1,0,0,1
5,2,2,0,1
6,2,1,0,1
7,1,1,0,1
6,3,0,0,1
5,3,1,0,1
8,2,1,0,1
7,0,2,0,1
9,1,0,0,1
11,0,3,0,1
7,1,1,0,1
3,1,0,0,1
14,2,1,0,1
4,3,0,0,1
5,0,0,0,1
8,1,0,0,1
7,1,2,0,1
12,13,0,0,1
6,1,2,0,1
8,3,1,0,1
9,1,1,0,1
9,2,1,0,1
10,0,1,0,1
4,0,3,0,1
3,0,1,0,1
3,2,2,0,1
9,0,2,0,1
5,0,1,0,1
6,5,0,0,1
7,1,1,0,1
2,1,0,0,1
11,2,1,0,1
16,3,2,0,1
11,3,0,0,1
6,1,1,0,1
2,0,0,0,1
3,1,1,0,1
4,0,1,0,1
10,4,1,0,1
3,0,0,0,1
5,0,2,0,1
9,1,1,1,1
8,3,1,0,1
12,2,1,0,1
2,0,1,0,1
18,19,1,0,1
6,4,1,0,1
9,2,1,0,1
6,0,0,0,1
14,3,0,1,1
4,1,0,0,1
8,0,2,0,1
14,2,0,0,1
8,1,0,0,1
13,1,0,0,1
9,0,0,0,1
9,1,0,0,1
3,0,2,0,1
8,2,1,0,1
9,1,0,0,1
2,2,1,1,1
7,2,1,0,1
12,0,0,0,1
9,3,0,0,1
7,1,1,0,1
11,3,0,0,1
7,0,1,0,1
4,0,1,0,1
2,1,0,0,1
7,3,2,0,1
3,1,0,0,1
10,4,2,0,1
6,0,1,0,1
9,1,0,0,1
7,1,0,0,1
1,0,1,0,1
7,4,1,0,1
6,1,0,0,1
5,0,2,0,1
11,2,1,0,1
3,1,2,0,1
3,0,0,0,1
8,2,1,0,1
10,6,0,0,1
10,2,1,0,1
4,0,1,0,1
7,2,0,0,1
5,5,1,0,1
6,1,1,0,1
9,0,1,0,1
2,1,0,0,1
3,2,6,0,1
3,2,1,0,1
6,1,1,0,1
2,1,1,0,1
10,3,2,0,1
4,0,1,0,1
5,3,0,0,1
9,2,0,0,1
8,0,1,0,1
9,1,0,0,1
2,0,1,0,1
5,0,1,0,1
7,2,1,0,1
6,0,1,0,1
7,4,1,0,1
7,6,0,0,1
8,2,2,0,1
7,2,1,0,1
1,2,0,0,1
7,1,0,0,1
34,14,0,0,1
8,5,0,0,1
4,2,0,0,1
21,4,1,0,1
11,3,1,0,1
5,6,2,0,1
6,0,1,0,1
6,1,1,0,1
10,1,0,0,1
12,2,0,0,1
12,4,4,0,1
3,0,0,0,1
5,0,1,0,1
3,1,0,0,1
4,2,0,0,1
6,4,1,0,1
3,1,0,0,1
2,0,1,0,1
8,3,0,0,1
3,2,1,0,1
3,0,0,0,1
10,0,0,0,1
7,3,0,0,1
7,1,0,0,1
9,1,1,0,1
3,1,1,0,1
5,1,1,0,1
5,1,0,0,1
9,2,0,0,1
5,4,0,1,1
6,0,1,0,1
8,0,0,0,1
4,1,1,0,1
10,0,1,0,1
12,1,1,0,1
12,4,1,0,1
3,0,1,0,1
7,0,1,0,1
10,0,1,0,1
7,4,0,0,1
10,2,1,0,1
6,4,1,0,1
8,1,1,0,1
16,2,1,0,1
13,4,1,0,1
7,3,0,0,1
5,0,1,0,1
10,0,0,0,1
8,5,0,0,1
6,1,1,0,1
7,0,0,0,1
6,2,1,0,1
3,2,1,0,1
20,7,0,0,1
5,2,0,0,1
4,5,1,0,1
12,8,2,1,1
4,3,0,0,1
14,2,0,0,1
3,1,2,0,1
7,0,2,0,1
14,8,2,1,1
4,0,0,0,1
7,6,2,0,1
9,2,0,0,1
7,3,1,0,1
2,1,0,0,1
10,3,1,0,1
4,1,1,0,1
1,0,1,0,1
5,0,2,0,1
13,0,2,0,1
11,2,1,0,1
5,1,1,0,1
12,3,1,0,1
6,1,1,0,1
8,1,1,0,1
9,2,0,0,1
2,3,1,0,1
1,1,0,0,1
6,0,0,0,1
1,0,0,0,1
8,2,0,0,1
7,1,1,0,1
10,5,0,0,1
7,0,1,0,1
6,1,0,0,1
4,2,1,0,1
17,2,1,0,1
6,2,2,0,1
5,2,2,0,1
11,1,0,0,1
5,1,0,0,1
8,4,2,0,1
4,0,1,0,1
7,1,1,0,1
7,0,0,0,1
6,0,1,0,1
6,1,2,0,1
7,1,1,0,1
6,0,0,0,1
7,1,0,0,1
5,0,0,1,1
3,0,1,0,1
3,3,1,0,1
5,0,0,1,1
5,0,1,0,1
14,7,0,0,1
1,2,1,0,1
8,0,1,0,1
7,0,0,0,1
4,0,2,0,1
8,0,1,0,1
1,0,1,0,1
7,1,1,0,1
5,0,0,0,1
6,0,1,0,1
12,2,1,0,1
8,1,1,0,1
7,3,0,0,1
30,14,2,0,1
14,2,0,1,1
3,0,0,0,1
6,4,1,0,1
5,1,1,0,1
8,1,1,0,1
7,2,0,0,1
6,0,0,0,1
5,0,1,0,1
4,0,2,0,1
3,2,1,0,-1
7,2,1,0,-1
14,6,0,1,-1
16,6,0,0,-1
10,6,0,0,-1
6,7,0,1,-1
8,9,0,0,-1
5,0,0,0,-1
7,6,1,0,-1
0,1,0,0,-1
3,3,0,1,-1
2,2,1,0,-1
2,2,0,0,-1
5,2,0,1,-1
15,15,0,2,-1
10,13,0,1,-1
0,5,1,3,-1
4,4,0,1,-1
8,4,0,0,-1
8,10,0,0,-1
2,1,0,0,-1
2,9,0,1,-1
3,3,0,1,-1
5,5,0,0,-1
0,3,0,0,-1
0,4,0,1,-1
3,3,0,1,-1
5,2,0,1,-1
4,3,0,0,-1
7,6,0,0,-1
2,6,0,1,-1
17,16,1,1,-1
1,1,0,0,-1
2,5,0,1,-1
3,2,1,0,-1
1,2,0,0,-1
3,5,0,0,-1
5,4,0,0,-1
2,5,0,1,-1
4,6,0,0,-1
4,9,0,1,-1
5,6,0,1,-1
6,3,1,1,-1
4,4,0,1,-1
0,3,1,0,-1
7,2,0,0,-1
10,4,0,0,-1
9,14,0,0,-1
5,8,0,0,-1
5,16,0,1,-1
3,5,0,1,-1
13,4,0,0,-1
9,5,1,0,-1
4,4,0,0,-1
2,3,0,0,-1
4,1,2,0,-1
1,1,1,1,-1
10,4,0,0,-1
5,0,1,0,-1
3,4,0,0,-1
1,2,0,0,-1
1,5,0,2,-1
4,3,0,1,-1
6,2,0,0,-1
1,0,0,0,-1
2,2,0,0,-1
2,2,1,0,-1
2,4,1,0,-1
2,3,0,1,-1
4,6,0,1,-1
4,4,1,0,-1
5,8,0,0,-1
1,0,0,0,-1
4,4,1,0,-1
7,3,0,1,-1
6,3,0,1,-1
1,4,1,1,-1
15,7,0,0,-1
2,2,0,0,-1
11,15,1,0,-1
4,9,0,0,-1
2,6,0,0,-1
2,3,0,0,-1
5,8,0,0,-1
13,26,0,0,-1
3,4,0,0,-1
4,7,0,0,-1
14,1,1,0,-1
14,1,1,0,-1
6,11,0,0,-1
9,11,0,1,-1
9,9,1,1,-1
10,3,1,0,-1
1,2,0,0,-1
4,3,0,1,-1
3,3,0,0,-1
6,6,2,0,-1
0,2,0,0,-1
7,7,2,0,-1
4,7,0,2,-1
14,13,0,0,-1
5,5,1,0,-1
5,6,1,1,-1
17,17,2,0,-1
7,4,1,1,-1
5,5,1,0,-1
5,6,1,1,-1
17,17,2,0,-1
7,4,1,1,-1
4,3,0,1,-1
16,11,0,1,-1
6,8,0,0,-1
5,4,0,1,-1
3,7,0,0,-1
13,4,0,1,-1
3,2,0,1,-1
4,6,1,0,-1
5,5,0,1,-1
4,4,0,0,-1
9,13,1,0,-1
7,9,1,2,-1
8,3,0,0,-1
7,4,0,0,-1
2,2,0,1,-1
5,3,1,0,-1
5,6,0,0,-1
8,11,1,0,-1
17,17,0,1,-1
5,4,0,0,-1
3,9,0,0,-1
0,5,0,1,-1
1,5,1,1,-1
2,4,0,1,-1
2,4,0,0,-1
3,0,0,1,-1
8,6,0,0,-1
1,3,0,0,-1
2,3,0,0,-1
3,8,0,1,-1
3,3,0,1,-1
11,5,0,0,-1
3,4,0,0,-1
3,3,0,0,-1
4,1,0,1,-1
4,5,0,0,-1
0,3,0,0,-1
6,5,0,0,-1
4,4,0,0,-1
4,3,0,0,-1
4,4,0,0,-1
3,4,0,0,-1
3,5,0,0,-1
6,3,0,3,-1
6,1,2,0,-1
5,4,0,0,-1
1,2,0,2,-1
6,7,0,0,-1
1,3,0,0,-1
8,5,0,1,-1
4,5,0,2,-1
2,8,0,1,-1
1,1,0,0,-1
1,1,0,0,-1
3,6,0,0,-1
1,3,0,0,-1
1,0,0,0,-1
5,13,0,0,-1
1,8,0,0,-1
4,2,0,1,-1
0,2,1,1,-1
5,1,1,1,-1
0,3,1,0,-1
9,15,0,1,-1
1,4,0,1,-1
5,3,0,1,-1
2,5,0,3,-1
3,2,0,0,-1
1,2,0,0,-1
4,12,0,2,-1
6,1,1,0,-1
3,5,0,1,-1
3,6,0,0,-1
8,5,0,0,-1
27,16,0,0,-1
4,6,0,1,-1
9,6,0,0,-1
7,1,0,0,-1
13,18,0,1,-1
4,6,0,0,-1
3,3,0,0,-1
2,8,0,0,-1
5,4,0,0,-1
3,4,1,0,-1
2,3,1,0,-1
2,0,0,0,-1
3,2,0,0,-1
10,7,0,0,-1
1,4,0,1,-1
3,2,0,0,-1
1,4,1,1,-1
4,5,0,1,-1
11,10,0,1,-1
4,8,0,1,-1
7,5,1,2,-1
8,11,2,0,-1
9,8,0,0,-1
5,9,0,0,-1
2,8,0,1,-1
4,3,0,1,-1
3,5,0,1,-1
12,17,0,3,-1
7,9,0,1,-1
3,9,0,1,-1
2,2,0,0,-1
4,9,0,0,-1
1,6,1,1,-1
1,2,1,1,-1
2,2,0,1,-1
6,8,0,1,-1
1,12,0,1,-1
1,4,0,1,-1
3,3,0,0,-1
1,5,0,0,-1
3,6,0,2,-1
3,10,0,0,-1
9,6,0,0,-1
9,11,0,1,-1
5,5,0,0,-1
10,25,0,1,-1
5,12,0,1,-1
5,7,0,2,-1
6,11,0,2,-1
12,5,0,0,-1
4,9,0,0,-1
3,4,1,0,-1
4,5,0,1,-1
10,9,0,0,-1
5,12,0,0,-1
0,3,0,0,-1
2,5,0,1,-1
2,1,0,1,-1
5,10,0,0,-1
9,9,0,1,-1
2,6,0,0,-1
8,10,0,0,-1
5,7,0,0,-1
7,4,0,0,-1
1,6,0,1,-1
6,6,0,0,-1
1,7,1,0,-1
0,7,0,1,-1
3,5,0,1,-1
1,3,0,0,-1
2,1,0,0,-1
1,4,0,0,-1
6,15,0,1,-1
5,13,0,1,-1
4,4,0,1,-1
7,4,0,1,-1
5,9,0,1,-1
6,4,0,1,-1
3,13,0,0,-1
10,17,0,1,-1
5,6,0,1,-1
6,9,0,0,-1
18,5,0,1,-1
7,9,0,1,-1
5,10,0,1,-1
1,7,0,1,-1
5,5,0,1,-1
2,4,0,0,-1
1,7,0,1,-1
2,3,0,1,-1
2,11,1,0,-1
18,26,0,0,-1
5,9,0,0,-1
5,5,0,0,-1
0,1,0,1,-1
2,1,0,1,-1
6,5,0,1,-1
3,6,0,1,-1
0,4,0,2,-1
6,3,1,0,-1
1,2,0,1,-1
6,12,0,1,-1
3,6,0,1,-1
5,10,0,1,-1
3,11,0,1,-1
4,12,0,2,-1
5,13,1,1,-1
4,8,0,1,-1
2,15,0,1,-1
14,10,0,1,-1
1,1,0,2,-1
1,6,0,1,-1
4,11,0,0,-1
1,4,0,0,-1
6,13,0,1,-1
4,10,0,1,-1
3,8,0,1,-1
2,8,0,1,-1
1,6,0,1,-1
2,7,0,2,-1
1,9,0,1,-1
2,3,0,0,-1
1,5,0,1,-1
4,2,0,3,-1
2,5,1,0,-1
1,4,0,0,-1
2,9,0,1,-1
5,16,0,3,-1
5,13,0,0,-1
2,3,1,1,-1
11,10,0,1,-1
6,3,0,0,-1
4,7,0,1,-1
2,5,1,1,-1
3,11,1,1,-1
3,2,0,0,-1
8,9,0,0,-1
2,4,0,1,-1
3,5,0,1,-1
12,9,0,1,-1
3,11,1,1,-1
3,2,0,0,-1
8,9,0,0,-1
4,6,1,1,-1
